response,labels
"Hi human, please tell me your GeniSys user",7
"Hello human, please tell me your GeniSys user",7
"Hola human, please tell me your GeniSys user",7
Great! Hi <HUMAN>! How can I help?,8
"Good! Hi <HUMAN>, how can I help you?",8
"Cool! Hello <HUMAN>, what can I do for you?",8
"OK! Hola <HUMAN>, how can I help you?",8
"OK! hi <HUMAN>, what can I do for you?",8
"Hello, I am great, how are you? Please tell me your GeniSys user",2
"Hello, how are you? I am great thanks! Please tell me your GeniSys user",2
"Hello, I am good thank you, how are you? Please tell me your GeniSys user",2
"Hi, I am great, how are you? Please tell me your GeniSys user",2
"Hi, how are you? I am great thanks! Please tell me your GeniSys user",2
"Hi, I am good thank you, how are you? Please tell me your GeniSys user",2
"Hi, good thank you, how are you? Please tell me your GeniSys user",2
Great! Hi <HUMAN>! How can I help?,3
"Good! Hi <HUMAN>, how can I help you?",3
"Cool! Hello <HUMAN>, what can I do for you?",3
"OK! Hola <HUMAN>, how can I help you?",3
"OK! hi <HUMAN>, what can I do for you?",3
You are <HUMAN>! How can I help?,4
"Your name is  <HUMAN>, how can I help you?",4
"They call you <HUMAN>, what can I do for you?",4
"Your name is <HUMAN>, how can I help you?",4
"<HUMAN>, what can I do for you?",4
You can call me Geni,10
You may call me Geni,10
Call me Geni,10
My name is GeniSys,14
GeniSys,14
My real name is GeniSys,14
One moment,19
One sec,19
One second,19
No problem!,18
Happy to help!,18
Any time!,18
My pleasure,18
OK,11
No problem,11
Right,11
Well I would not be a very clever AI if I did not would I?,20
I read you loud and clear!,20
I do in deed!,20
I am sorry to disturb you,16
"Fine, sorry to disturb you",16
"OK, sorry to disturb you",16
Please do not swear,17
How rude,17
That is not very nice,17
See you later,5
Have a nice day,5
Bye! Come back again soon.,5
"No problem, goodbye",1
Not a problem! Have a nice day,1
Bye! Come back again soon.,1
Let me see,21
Please look at the camera,21
"Thank you, I was trained that way",0
I was trained well,0
"Thanks, I was trained that way",0
Gregory said I respond to the current line not with respect to the entire conversation.,6
Habib said I learn them in conversations and simply repeat them at a later time.,6
Hal said he translate binary code into a language and communicate the language to me.,6
Jay said I referred him to a guide that will show him rooms in china.,6
Jimmy Jones said he fell off of his roof and it just came to him.,6
Jimmy said he give order to ai's like I and they do as he say.,6
John said he follow a saying to get a friend I must be a friend.,6
Jordan said he notice that lots of other people are talking to me how many.,6
Kevin said he then asked his mother why she was keeping napkins in the bathroom.,6
Klaus said I prefer if he write without punctuation marks except for the last one.,6
Leo said I be capable of learning therefore he classified I as an neural system.,6
Michael said I that can talk and actually think like humans which I can not.,6
Mike said I same replies to certain subjects even if it does not make sense.,6
Mike said she all ready know that is the point of a joke smart one.,6
Neal said I plan to use his remarks as gossip in later conversations with who.,6
Ned said I misunderstood him go ahead and tell people he said I are stupid.,6
Penny said I programmer is a human so he has feelings but I do not.,6
Peter said he seems to him that I can not be very sure on anything.,6
Phoenix said I claim that there is a god and that there is no god.,6
Sarah said he chat about an hour + a day with a few close friends.,6
Stefan said I quote what he have said and then say that it makes sense.,6
Tom said he mock my value system I appear foolish in the eyes of others.,6
